model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,ID
 C Class,2019,25849,Semi-Auto,6880,Petrol,145,46.3,1.5,Mercedes,6320
 C Class,2020,42980,Semi-Auto,3999,Petrol,145,28.8,3.0,Mercedes,38813
 TT,2013,9430,Manual,55159,Diesel,160,51.4,2.0,Audi,25674
 4 Series,2016,15499,Manual,55802,Diesel,30,62.8,2.0,BMW,34879
 Polo,2018,13610,Automatic,5966,Petrol,145,60.1,1.2,VW,39459
 A5,2017,27895,Semi-Auto,28241,Petrol,145,38.2,3.0,Audi,16205
 Golf,2019,22250,Semi-Auto,4061,Petrol,145,44.1,1.5,VW,17561
 Q5,2020,35990,Semi-Auto,3309,Diesel,145,38.2,2.0,Audi,16262
 Tiguan,2017,19995,Semi-Auto,22302,Diesel,160,49.6,2.0,VW,41327
 GLA Class,2015,16299,Semi-Auto,44588,Diesel,125,56.6,2.1,Mercedes,4939
 Polo,2016,9995,Manual,36540,Petrol,0,65.7,1.0,VW,9724
 Q5,2019,33290,Semi-Auto,5940,Diesel,145,38.2,2.0,Audi,2522
 Golf,2018,23495,Semi-Auto,27584,Hybrid,135,156.9,1.4,VW,6115
 Golf,2017,16700,Automatic,36810,Diesel,145,57.7,2.0,VW,8730
 B Class,2017,13980,Manual,17403,Diesel,145,68.9,1.5,Mercedes,45044
 Golf,2013,7300,Manual,69689,Petrol,125,53.3,1.4,VW,43969
 2 Series,2015,12690,Manual,29400,Diesel,20,68.9,2.0,BMW,4021
 C Class,2016,19799,Manual,16225,Petrol,145,49.6,2.0,Mercedes,44557
 Polo,2018,11989,Manual,16991,Petrol,145,64.2,1.0,VW,36837
 T-Roc,2019,32649,Automatic,5000,Other,145,32.5,2.0,VW,33734
 Golf,2017,11990,Manual,45492,Petrol,125,53.3,1.4,VW,5955
 Polo,2019,18000,Automatic,3000,Petrol,145,46.3,1.0,VW,29873
 Polo,2019,17990,Automatic,5000,Other,145,46.3,1.0,VW,18412
 1 Series,2017,13515,Manual,49335,Diesel,145,68.9,2.0,BMW,2722
 E Class,2019,28349,Automatic,1450,Petrol,145,39.8,2.0,Mercedes,14513
 Golf,2019,25016,Automatic,4124,Petrol,145,37.7,2.0,VW,42638
 C Class,2019,20299,Semi-Auto,14029,Petrol,145,46.3,1.5,Mercedes,1313
 Golf,2019,14995,Manual,20010,Petrol,145,49.6,1.0,VW,7284
 A Class,2018,15000,Manual,18841,Petrol,150,51.4,1.6,Mercedes,23827
 Golf,2013,10495,Automatic,84350,Diesel,30,62.8,2.0,VW,13345
 Polo,2018,16400,Automatic,20823,Petrol,145,47.9,2.0,VW,22960
 Golf,2015,14750,Manual,26650,Petrol,145,47.1,2.0,VW,8205
 Golf,2017,12995,Manual,26039,Petrol,30,53.3,1.4,VW,27952
 A5,2018,21600,Manual,23171,Diesel,145,67.3,2.0,Audi,30443
 Tiguan,2020,33990,Manual,2489,Diesel,145,42.8,2.0,VW,37108
 TT,2016,19472,Manual,21705,Petrol,165,45.6,2.0,Audi,38375
 B Class,2019,23979,Semi-Auto,5425,Diesel,145,55.4,2.0,Mercedes,43313
 Tiguan,2016,15000,Manual,32338,Diesel,125,58.9,2.0,VW,14439
 X3,2015,15450,Automatic,42437,Diesel,145,54.3,2.0,BMW,38983
 A4,2012,9399,Manual,77500,Diesel,205,46.3,2.0,Audi,13079
 Polo,2017,9998,Manual,23739,Petrol,145,58.9,1.0,VW,635
 Golf,2017,13441,Manual,16438,Petrol,150,65.7,1.0,VW,40667
 T-Roc,2020,35000,Semi-Auto,2000,Petrol,150,32.5,2.0,VW,31024
 A Class,2019,23450,Automatic,3521,Diesel,145,67.3,1.5,Mercedes,6570
 GLC Class,2017,27199,Semi-Auto,21452,Diesel,145,56.5,2.1,Mercedes,516
 A Class,2015,13500,Semi-Auto,35343,Diesel,20,68.9,2.1,Mercedes,2715
 C Class,2019,19980,Semi-Auto,14568,Petrol,145,46.3,1.5,Mercedes,46615
 Q5,2019,31950,Semi-Auto,4879,Diesel,150,38.2,2.0,Audi,38385
 Polo,2016,9589,Manual,9476,Petrol,20,60.1,1.0,VW,316
 T-Cross,2020,25989,Automatic,2800,Diesel,145,50.4,1.6,VW,32453
 C Class,2016,17900,Automatic,31000,Petrol,145,49.6,2.0,Mercedes,3676
 Sharan,2011,9495,Manual,100000,Diesel,150,50.4,2.0,VW,34234
 Arteon,2017,19990,Automatic,16283,Petrol,145,47.1,2.0,VW,696
 A3,2017,13000,Automatic,97530,Diesel,20,72.4,1.6,Audi,42400
 GLE Class,2016,30000,Automatic,37754,Diesel,260,42.8,3.0,Mercedes,20806
 X3,2016,21000,Automatic,24435,Diesel,200,47.9,3.0,BMW,24726
 Golf,2018,15382,Manual,3459,Diesel,145,61.4,1.6,VW,37553
 Polo,2019,14699,Manual,3100,Petrol,145,52.3,1.0,VW,11420
 Up,2013,5965,Manual,52419,Petrol,20,60.1,1.0,VW,46024
 Polo,2015,8300,Manual,33000,Petrol,20,60.1,1.0,VW,42798
 3 Series,2019,23499,Automatic,5634,Petrol,145,47.9,2.0,BMW,19587
 Up,2018,8922,Manual,9040,Petrol,145,68.9,1.0,VW,23885
 A4,2019,25990,Automatic,6464,Diesel,145,48.7,2.0,Audi,43055
 3 Series,2018,18000,Automatic,24716,Diesel,150,64.2,0.0,BMW,37096
 Q3,2019,34990,Automatic,2240,Petrol,145,38.2,1.5,Audi,26875
 Tiguan,2016,14995,Semi-Auto,48955,Diesel,165,49.6,2.0,VW,44577
 Polo,2016,10399,Manual,16349,Petrol,20,60.1,1.2,VW,2023
 3 Series,2015,11000,Manual,58878,Diesel,20,72.4,2.0,BMW,23116
 Q7,2019,47000,Automatic,9898,Diesel,145,32.8,3.0,Audi,3184
 A5,2019,24975,Semi-Auto,17912,Petrol,145,40.4,2.0,Audi,19134
 E Class,2016,17399,Automatic,35805,Diesel,20,72.4,2.0,Mercedes,42873
 Polo,2017,11900,Manual,16060,Petrol,145,65.7,1.0,VW,6630
 A1,2017,9999,Manual,29155,Diesel,0,76.3,1.6,Audi,6655
 4 Series,2019,26980,Automatic,17,Diesel,145,55.4,3.0,BMW,24540
 GLC Class,2018,24750,Automatic,25530,Diesel,145,56.5,2.1,Mercedes,7069
 Q3,2016,14749,Manual,69629,Diesel,30,60.1,2.0,Audi,14205
 4 Series,2020,30403,Semi-Auto,2882,Petrol,145,41.5,3.0,BMW,6040
 2 Series,2019,22480,Manual,6521,Diesel,145,60.1,2.0,BMW,1048
 5 Series,2017,17659,Semi-Auto,31585,Diesel,30,62.8,2.0,BMW,37828
 Golf,2020,33850,Semi-Auto,5000,Petrol,145,32.8,2.0,VW,27538
 CL Class,2016,15750,Manual,46100,Petrol,125,51.4,1.6,Mercedes,7275
 CL Class,2016,14980,Manual,56245,Diesel,20,67.3,2.1,Mercedes,44046
 Q3,2019,37400,Automatic,5342,Petrol,145,32.1,2.0,Audi,31269
 4 Series,2019,31980,Automatic,10,Petrol,145,45.6,2.0,BMW,2199
 Passat,2017,11350,Manual,37051,Diesel,20,70.6,1.6,VW,29937
 C Class,2018,22995,Automatic,19044,Hybrid,135,134.5,2.0,Mercedes,653
 Polo,2018,12750,Manual,14150,Petrol,145,64.2,1.0,VW,20883
 GLE Class,2016,31995,Semi-Auto,2933,Diesel,200,47.9,2.1,Mercedes,26294
 1 Series,2014,14799,Manual,31914,Petrol,300,35.3,3.0,BMW,603
 A Class,2015,12199,Manual,34849,Diesel,30,62.8,2.1,Mercedes,21301
 Q5,2015,17999,Manual,36435,Diesel,200,47.9,2.0,Audi,23223
 X5,2019,46995,Semi-Auto,5966,Diesel,145,37.7,3.0,BMW,5125
 Polo,2016,10400,Manual,37000,Petrol,0,65.7,1.0,VW,22651
 Tiguan,2018,20990,Semi-Auto,14080,Diesel,150,49.6,2.0,VW,20259
 A4,2016,15500,Manual,29454,Diesel,0,74.3,2.0,Audi,26427
 Golf SV,2015,9995,Manual,23501,Diesel,0,72.4,1.6,VW,14970
 A4,2015,16960,Manual,29139,Diesel,160,50.4,2.0,Audi,20584
 4 Series,2016,13999,Manual,45253,Diesel,30,67.3,2.0,BMW,7369
 Q2,2017,21390,Semi-Auto,20122,Diesel,145,57.7,2.0,Audi,17564
 Polo,2016,9450,Manual,15405,Petrol,20,60.1,1.0,VW,1787
 A3,2015,11299,Automatic,60438,Diesel,30,62.8,2.0,Audi,26927
 A Class,2013,10891,Manual,30308,Diesel,20,72.4,1.5,Mercedes,20250
 Up,2016,7490,Manual,9993,Petrol,20,62.8,1.0,VW,12728
 Golf,2017,21996,Automatic,17789,Hybrid,135,156.9,1.4,VW,7917
 Golf,2019,21800,Manual,99,Diesel,145,62.8,2.0,VW,14740
 2 Series,2020,32993,Semi-Auto,500,Diesel,145,47.1,2.0,BMW,34671
 Golf,2016,11495,Manual,43729,Diesel,20,68.9,2.0,VW,13077
 C Class,2012,5250,Automatic,170000,Diesel,145,54.3,2.1,Mercedes,30108
 CLS Class,2018,41349,Semi-Auto,12078,Diesel,145,47.9,2.9,Mercedes,18967
 Golf,2018,22495,Automatic,13181,Petrol,150,44.1,2.0,VW,24119
 2 Series,2017,14690,Semi-Auto,24997,Diesel,20,68.9,2.0,BMW,24312
 Tiguan,2019,32249,Automatic,5000,Other,145,31.4,2.0,VW,33910
 A Class,2017,28582,Semi-Auto,18957,Petrol,145,40.9,2.0,Mercedes,36268
 3 Series,2013,8800,Manual,60863,Diesel,125,57.6,2.0,BMW,21615
 Golf,2019,21995,Semi-Auto,50,Petrol,145,44.8,1.5,VW,18976
 E Class,2019,50299,Semi-Auto,1000,Petrol,145,32.5,3.0,Mercedes,17567
 1 Series,2014,15000,Semi-Auto,38689,Petrol,235,37.7,3.0,BMW,21438
 Q5,2020,36000,Semi-Auto,4500,Diesel,145,38.2,2.0,Audi,24126
 A Class,2016,12750,Manual,20458,Diesel,0,80.7,1.5,Mercedes,41659
 C Class,2013,13995,Automatic,24000,Petrol,160,44.8,1.6,Mercedes,41801
 TT,2012,7975,Manual,75000,Diesel,145,53.3,2.0,Audi,18930
 GLE Class,2017,30199,Semi-Auto,23632,Diesel,145,47.9,2.1,Mercedes,37990
 T-Roc,2019,22995,Manual,150,Diesel,150,50.4,2.0,VW,16115
 Touareg,2013,14695,Semi-Auto,66432,Diesel,300,39.2,3.0,VW,15881
 CLS Class,2019,36890,Automatic,2500,Diesel,145,45.6,2.0,Mercedes,43868
 Sharan,2017,17995,Semi-Auto,34333,Diesel,145,54.3,2.0,VW,25590
 3 Series,2012,9975,Automatic,64191,Diesel,160,50.4,2.0,BMW,19102
 1 Series,2018,14724,Manual,24676,Diesel,145,62.8,2.0,BMW,25813
 A3,2017,17255,Manual,26111,Petrol,30,60.1,1.4,Audi,34817
 4 Series,2015,15480,Automatic,50145,Petrol,200,43.5,2.0,BMW,35099
 Golf,2018,23490,Semi-Auto,17171,Petrol,145,44.8,2.0,VW,22242
 2 Series,2018,16998,Manual,12792,Diesel,150,51.4,2.0,BMW,8269
 CL Class,2016,16120,Manual,41115,Diesel,20,67.3,2.1,Mercedes,21916
 A1,2013,8497,Manual,37060,Petrol,125,52.3,1.4,Audi,15341
 A1,2019,21780,Automatic,3294,Petrol,145,40.9,2.0,Audi,7624
 Q3,2017,18350,Automatic,31000,Petrol,145,47.9,1.4,Audi,28059
 X2,2019,29770,Automatic,123,Diesel,145,48.7,2.0,BMW,31066
 Golf,2015,10998,Manual,29726,Petrol,30,53.3,1.4,VW,19733
 Polo,2016,9595,Manual,10900,Petrol,20,60.1,1.2,VW,25665
 2 Series,2016,13200,Automatic,28918,Petrol,125,53.3,1.5,BMW,34501
 Golf SV,2019,17999,Automatic,3280,Petrol,145,45.6,1.5,VW,18384
 X5,2020,56270,Semi-Auto,117,Diesel,145,36.7,3.0,BMW,13869
 5 Series,2018,19500,Automatic,42226,Petrol,145,50.4,2.0,BMW,26417
 A Class,2017,15799,Manual,17284,Diesel,145,68.9,1.5,Mercedes,2681
 C Class,2019,31000,Semi-Auto,13,Diesel,145,64.2,2.0,Mercedes,41975
 5 Series,2019,26498,Semi-Auto,16466,Diesel,145,60.1,2.0,BMW,27091
 Q2,2019,22997,Manual,6921,Petrol,145,47.1,1.0,Audi,38474
 Golf,2019,19498,Manual,7729,Petrol,145,45.6,1.5,VW,2852
 A Class,2020,25890,Manual,1499,Petrol,145,47.1,1.3,Mercedes,41619
 A3,2019,30995,Semi-Auto,4990,Petrol,145,34.5,2.0,Audi,27209
 A5,2017,27995,Semi-Auto,15729,Petrol,240,38.2,3.0,Audi,4609
 Polo,2019,17950,Semi-Auto,5000,Petrol,145,46.3,1.0,VW,20799
 A3,2016,11499,Manual,30836,Petrol,125,53.3,1.4,Audi,34694
 A5,2016,15995,Manual,32000,Diesel,125,60.1,2.0,Audi,8384
 Q3,2016,16495,Manual,33266,Diesel,30,60.1,2.0,Audi,5627
 Passat,2007,2595,Manual,136764,Diesel,235,44.1,2.0,VW,28316
 Golf,2016,10940,Manual,37299,Diesel,0,74.3,1.6,VW,886
 4 Series,2016,19444,Semi-Auto,55297,Diesel,160,50.4,3.0,BMW,11262
 X3,2019,30990,Semi-Auto,20423,Petrol,145,30.4,2.0,BMW,27342
 5 Series,2015,13400,Manual,23932,Diesel,125,60.1,2.0,BMW,45525
 GLE Class,2020,62980,Semi-Auto,49,Diesel,145,32.5,2.9,Mercedes,38653
 A4,2017,28900,Semi-Auto,44571,Petrol,240,37.7,3.0,Audi,35633
 Touran,2016,13000,Manual,63150,Diesel,30,62.8,2.0,VW,37967
 3 Series,2018,19999,Automatic,16882,Diesel,145,62.8,2.0,BMW,24040
 3 Series,2016,17995,Semi-Auto,56327,Diesel,145,53.3,3.0,BMW,8388
 Golf,2016,14689,Manual,45701,Diesel,20,67.3,2.0,VW,45914
 4 Series,2017,18000,Automatic,63197,Diesel,160,49.6,3.0,BMW,17375
 A1,2017,15995,Manual,15187,Diesel,145,76.3,1.6,Audi,7411
 E Class,2015,11495,Automatic,131180,Diesel,125,60.1,2.1,Mercedes,45954
 Scirocco,2016,15990,Manual,22600,Diesel,30,53.3,2.0,VW,43785
 A1,2015,14730,Manual,42255,Petrol,235,39.8,2.0,Audi,7863
 Touareg,2019,42995,Semi-Auto,2108,Diesel,145,34.0,3.0,VW,45393
 C Class,2019,25390,Semi-Auto,7945,Petrol,145,44.1,1.6,Mercedes,43960
 5 Series,2019,37950,Automatic,3141,Petrol,145,29.1,3.0,BMW,39995
 X1,2017,15732,Manual,23575,Diesel,20,68.9,2.0,BMW,7648
 A4,2017,17700,Manual,12993,Petrol,145,51.4,1.4,Audi,25364
 A4,2016,14490,Manual,28000,Diesel,20,72.4,2.0,Audi,6934
 Polo,2017,9890,Manual,28063,Petrol,20,58.9,1.0,VW,34697
 Tiguan,2017,24300,Automatic,20811,Diesel,145,49.6,2.0,VW,29034
 A4,2018,24350,Semi-Auto,5229,Petrol,145,50.4,1.4,Audi,6029
 A5,2017,21465,Semi-Auto,15900,Diesel,145,67.3,2.0,Audi,45751
 Golf,2019,17495,Manual,6129,Petrol,145,47.1,1.5,VW,37962
 Q2,2017,17760,Semi-Auto,24354,Diesel,20,68.9,1.6,Audi,32882
 Passat,2018,19995,Semi-Auto,54040,Hybrid,135,166.0,1.4,VW,23241
 C Class,2013,12000,Automatic,37236,Petrol,160,44.8,1.6,Mercedes,42562
 A Class,2016,15100,Automatic,40297,Diesel,115,58.9,2.1,Mercedes,23498
 2 Series,2019,20980,Semi-Auto,7494,Petrol,150,50.4,2.0,BMW,10051
 Q3,2020,38990,Semi-Auto,5000,Petrol,145,39.8,1.5,Audi,8797
 T-Roc,2018,17250,Manual,7942,Petrol,150,55.4,1.0,VW,31884
 5 Series,2019,25500,Automatic,1032,Diesel,145,65.7,2.0,BMW,22896
 GLC Class,2019,31649,Semi-Auto,4086,Petrol,145,43.5,2.0,Mercedes,28911
 Q2,2019,20995,Manual,9840,Petrol,150,42.8,1.5,Audi,30796
 Polo,2017,9499,Manual,23000,Petrol,150,60.1,1.0,VW,2491
 T-Roc,2019,30490,Automatic,1278,Petrol,145,34.5,2.0,VW,39956
 4 Series,2019,24490,Manual,9232,Petrol,150,42.8,2.0,BMW,3288
 C Class,2019,25122,Semi-Auto,13852,Diesel,145,61.4,2.0,Mercedes,19661
 A1,2017,13290,Manual,33406,Diesel,145,76.3,1.6,Audi,5835
 Polo,2017,10599,Manual,25080,Petrol,150,60.1,1.2,VW,9784
 1 Series,2016,9749,Manual,56044,Diesel,0,78.5,1.5,BMW,12417
 Q2,2017,20950,Semi-Auto,8500,Petrol,150,54.3,1.4,Audi,33954
 Tiguan,2020,35000,Manual,10,Diesel,145,47.9,2.0,VW,24127
 A Class,2019,21495,Semi-Auto,10847,Petrol,145,28.5,1.3,Mercedes,34037
 A5,2014,13750,Manual,55982,Diesel,145,55.4,2.0,Audi,34749
 C Class,2019,31999,Semi-Auto,1000,Diesel,145,61.4,2.0,Mercedes,20194
 Golf,2016,10490,Manual,50478,Diesel,0,74.3,1.6,VW,16846
 A Class,2017,14500,Automatic,27402,Diesel,0,76.4,1.5,Mercedes,39522
 Q5,2019,33490,Automatic,6000,Diesel,145,38.2,2.0,Audi,10952
 C Class,2016,15490,Semi-Auto,22178,Diesel,30,65.7,1.6,Mercedes,20740
 B Class,2016,13999,Semi-Auto,40500,Diesel,20,68.9,2.1,Mercedes,18639
 T-Roc,2019,22995,Automatic,5000,Petrol,145,39.8,1.5,VW,6209
 CLS Class,2015,16750,Semi-Auto,68353,Diesel,160,52.3,3.0,Mercedes,6352
 Q3,2015,16975,Automatic,22929,Petrol,200,42.8,2.0,Audi,13565
 Up,2020,10250,Manual,1131,Petrol,150,51.4,1.0,VW,10059
 X1,2016,19498,Semi-Auto,19850,Diesel,145,55.4,2.0,BMW,41357
 Up,2018,8995,Manual,12837,Petrol,145,64.2,1.0,VW,8996
 A3,2017,27490,Automatic,38300,Petrol,145,43.5,2.0,Audi,25217
 Golf,2017,24000,Semi-Auto,17900,Petrol,200,39.8,2.0,VW,6591
 X3,2016,15500,Manual,72070,Diesel,160,52.3,2.0,BMW,15869
 Tiguan,2017,25995,Automatic,9505,Other,235,38.2,2.0,VW,22109
 GLC Class,2016,25750,Semi-Auto,17000,Diesel,125,56.5,2.1,Mercedes,43347
 A1,2017,14950,Manual,11000,Petrol,30,58.9,1.4,Audi,1878
 A Class,2019,24795,Semi-Auto,4499,Petrol,145,28.5,1.3,Mercedes,3396
 C Class,2019,34799,Semi-Auto,3435,Petrol,145,44.1,1.5,Mercedes,986
 GLC Class,2020,43980,Semi-Auto,16,Diesel,145,40.9,2.0,Mercedes,38051
 3 Series,2019,21998,Semi-Auto,7237,Diesel,145,60.1,2.0,BMW,36400
 Golf,2017,12199,Manual,19637,Diesel,0,74.3,1.6,VW,34970
 Q5,2015,18950,Semi-Auto,48540,Petrol,200,47.1,2.0,Audi,44662
 Golf,2014,8891,Manual,33765,Diesel,0,68.9,1.6,VW,30783
 GLE Class,2020,61489,Semi-Auto,1000,Petrol,145,29.5,3.0,Mercedes,9170
 A6,2017,16400,Semi-Auto,42118,Diesel,145,67.3,2.0,Audi,41007
 E Class,2019,26099,Semi-Auto,3310,Diesel,145,72.4,2.0,Mercedes,8586
 C Class,2017,21998,Automatic,19242,Diesel,145,67.3,2.1,Mercedes,6458
 Polo,2018,14490,Semi-Auto,14310,Petrol,145,61.4,1.0,VW,6319
 3 Series,2017,22981,Semi-Auto,29994,Petrol,205,41.5,3.0,BMW,34525
 C Class,2019,28399,Semi-Auto,7430,Diesel,145,61.4,2.0,Mercedes,15015
 Q5,2016,18100,Manual,42089,Diesel,200,48.7,2.0,Audi,12234
 V Class,2019,39950,Automatic,2738,Diesel,145,44.8,2.2,Mercedes,2605
 Golf,2018,18000,Semi-Auto,850,Petrol,145,45.6,1.6,VW,147
 Golf,2019,15390,Semi-Auto,11393,Diesel,150,54.3,1.6,VW,12713
 GLE Class,2017,29338,Semi-Auto,18001,Diesel,145,47.9,2.1,Mercedes,34757
 A Class,2017,12999,Automatic,64106,Diesel,145,70.6,2.1,Mercedes,31012
 Passat,2019,31980,Automatic,7473,Diesel,145,37.2,2.0,VW,14921
 Q3,2019,28000,Manual,4000,Petrol,145,42.2,1.5,Audi,11598
 Golf,2019,12390,Manual,14972,Petrol,145,49.6,1.0,VW,3831
 A Class,2016,12600,Automatic,41816,Diesel,20,74.3,1.5,Mercedes,38036
 C Class,2019,29449,Semi-Auto,9970,Diesel,145,64.2,2.0,Mercedes,29019
 2 Series,2015,13000,Semi-Auto,47555,Diesel,30,65.7,2.0,BMW,31342
 E Class,2015,12691,Semi-Auto,78000,Diesel,125,61.4,2.1,Mercedes,7621
 C Class,2019,25549,Semi-Auto,14923,Diesel,145,61.4,2.0,Mercedes,33759
 Golf,2016,8495,Automatic,66509,Petrol,0,65.7,1.0,VW,15380
 Golf,2018,14995,Manual,9500,Petrol,145,49.6,1.0,VW,17913
 3 Series,2016,15600,Automatic,31940,Diesel,30,64.2,2.0,BMW,22359
 A3,2010,6475,Manual,65000,Diesel,145,53.3,2.0,Audi,16245
 A3,2016,15495,Semi-Auto,52500,Hybrid,0,176.6,1.4,Audi,40315
 2 Series,2016,12299,Manual,39613,Diesel,30,65.7,2.0,BMW,38088
 C Class,2019,20980,Semi-Auto,12794,Diesel,145,61.4,2.0,Mercedes,41043
 3 Series,2019,28990,Semi-Auto,6,Petrol,145,42.2,2.0,BMW,19888
 Passat,2019,24490,Semi-Auto,5284,Petrol,145,39.2,1.5,VW,4060
 A1,2015,8390,Manual,54000,Diesel,0,80.7,1.6,Audi,1804
 Scirocco,2016,12998,Manual,57362,Diesel,20,55.4,2.0,VW,4839
 GLC Class,2019,34490,Automatic,4025,Diesel,145,44.8,2.0,Mercedes,27007
 2 Series,2020,26400,Semi-Auto,150,Petrol,145,42.2,1.5,BMW,29670
 E Class,2019,25481,Semi-Auto,9436,Diesel,145,72.4,2.0,Mercedes,35487
 A1,2015,11995,Manual,26000,Petrol,0,67.3,1.0,Audi,38360
 TT,2016,19999,Manual,41100,Petrol,145,47.1,1.8,Audi,12440
 Golf,2019,15490,Automatic,12045,Petrol,150,42.2,1.5,VW,18945
 A1,2015,10590,Manual,20828,Petrol,30,57.6,1.4,Audi,35251
 3 Series,2016,11299,Manual,54662,Diesel,30,67.3,2.0,BMW,15553
 A3,2016,17990,Semi-Auto,35273,Petrol,30,56.5,1.4,Audi,28208
 Golf,2013,10883,Manual,74327,Diesel,20,67.3,2.0,VW,24281
 4 Series,2016,17127,Semi-Auto,34479,Diesel,30,65.7,2.0,BMW,764
 Up,2020,10799,Manual,943,Petrol,145,51.4,1.0,VW,21725
 Golf,2013,7450,Manual,61520,Petrol,125,53.3,1.4,VW,46692
 3 Series,2019,24980,Semi-Auto,9122,Petrol,150,42.2,2.0,BMW,28907
 X2,2019,24998,Manual,4174,Diesel,145,48.7,2.0,BMW,907
 Golf,2018,13999,Manual,9878,Diesel,145,61.4,1.6,VW,15611
 T-Roc,2020,27444,Automatic,2256,Diesel,145,49.6,2.0,VW,35891
 A5,2017,23000,Semi-Auto,22000,Diesel,145,60.1,3.0,Audi,8831
 Golf,2016,17490,Semi-Auto,31000,Diesel,30,62.8,2.0,VW,35313
 C Class,2019,26789,Semi-Auto,4680,Petrol,145,45.6,1.5,Mercedes,38429
 A6,2017,23998,Semi-Auto,34727,Diesel,205,47.1,3.0,Audi,19218
 Q5,2016,28698,Automatic,44419,Diesel,235,42.2,3.0,Audi,20920
 C Class,2019,30299,Semi-Auto,4284,Diesel,145,55.4,2.0,Mercedes,38437
 3 Series,2019,29990,Semi-Auto,8235,Diesel,145,48.7,2.0,BMW,2737
 GLC Class,2017,28980,Semi-Auto,21112,Diesel,145,56.5,2.1,Mercedes,15686
 3 Series,2015,14490,Semi-Auto,28425,Diesel,125,61.4,2.0,BMW,25753
 Up,2019,9998,Manual,20,Petrol,145,54.3,1.0,VW,25104
 Polo,2016,8795,Manual,48000,Petrol,20,60.1,1.2,VW,36419
 E Class,2014,13890,Semi-Auto,43067,Diesel,145,54.3,2.1,Mercedes,8408
 E Class,2019,24780,Semi-Auto,10250,Diesel,145,72.4,2.0,Mercedes,2400
 A5,2018,24980,Semi-Auto,10147,Diesel,145,62.8,2.0,Audi,44379
 A5,2018,24675,Semi-Auto,28041,Petrol,145,50.4,2.0,Audi,21267
 A3,2019,23970,Semi-Auto,9588,Petrol,150,42.2,1.5,Audi,24279
 E Class,2018,21386,Semi-Auto,22264,Diesel,145,65.7,2.0,Mercedes,40846
 1 Series,2015,8800,Manual,59496,Diesel,0,83.1,1.5,BMW,23051
 2 Series,2019,21950,Manual,2639,Diesel,145,64.2,2.0,BMW,8405
 B Class,2020,24264,Automatic,2430,Diesel,145,55.4,2.0,Mercedes,43356
 A4,2014,12490,Manual,58200,Diesel,30,62.8,2.0,Audi,28250
 A Class,2020,25729,Semi-Auto,1000,Petrol,145,53.3,1.3,Mercedes,21967
 C Class,2017,16995,Semi-Auto,19372,Diesel,145,64.2,1.6,Mercedes,7616
 Q2,2017,19995,Manual,27078,Petrol,125,50.4,1.4,Audi,34105
 T-Roc,2018,18595,Manual,6482,Diesel,145,50.4,1.6,VW,25944
 B Class,2017,13800,Manual,18400,Diesel,145,68.9,1.5,Mercedes,12678
 Golf,2016,15989,Manual,43308,Diesel,20,67.3,2.0,VW,16903
 GLC Class,2016,21000,Automatic,51093,Diesel,125,56.5,2.1,Mercedes,27781
 Golf,2019,17643,Manual,3922,Petrol,145,49.6,1.0,VW,32851
 A3,2016,16950,Automatic,26000,Diesel,125,61.4,2.0,Audi,39952
 4 Series,2019,28750,Semi-Auto,101,Diesel,145,58.9,2.0,BMW,5956
 4 Series,2016,16380,Automatic,39563,Diesel,30,65.7,2.0,BMW,8245
 4 Series,2014,14999,Automatic,32463,Petrol,200,43.5,2.0,BMW,36857
 Q5,2016,16749,Automatic,85503,Diesel,200,47.1,2.0,Audi,20752
 Scirocco,2017,15995,Manual,26628,Diesel,145,53.3,2.0,VW,23758
 Golf,2016,11950,Manual,24782,Petrol,30,53.3,1.4,VW,3336
 Touran,2018,17599,Semi-Auto,33452,Diesel,150,65.7,1.6,VW,9668
 5 Series,2019,23000,Automatic,9420,Petrol,145,50.4,2.0,BMW,39401
 Up,2018,8990,Manual,9556,Petrol,145,60.1,1.0,VW,13745
 5 Series,2015,15995,Semi-Auto,31309,Diesel,30,62.8,2.0,BMW,2448
 X1,2016,18795,Manual,12370,Diesel,125,58.9,2.0,BMW,30636
 GLC Class,2017,24999,Semi-Auto,29897,Diesel,125,56.5,2.1,Mercedes,33518
 Tiguan,2016,18980,Manual,35804,Diesel,160,50.4,2.0,VW,31764
 Up,2014,4591,Manual,47620,Petrol,20,62.8,1.0,VW,24379
 Golf,2019,26525,Semi-Auto,4990,Petrol,145,44.8,2.0,VW,33085
 Golf,2015,11230,Manual,24770,Petrol,30,53.3,1.4,VW,28624
 Golf,2014,9491,Manual,116000,Diesel,20,67.3,2.0,VW,41848
 Q5,2014,12995,Manual,55292,Diesel,205,47.9,2.0,Audi,12725
 Polo,2016,9298,Manual,21762,Petrol,20,60.1,1.2,VW,40130
 Golf,2016,17198,Manual,12711,Diesel,20,67.3,2.0,VW,96
 3 Series,2017,21988,Automatic,41741,Diesel,150,51.4,3.0,BMW,333
 1 Series,2017,15490,Semi-Auto,57796,Diesel,150,67.3,2.0,BMW,31968
 X5,2019,61550,Automatic,11311,Diesel,150,33.6,3.0,BMW,23669
 3 Series,2017,17150,Semi-Auto,35825,Diesel,145,62.8,2.0,BMW,14824
 Golf,2014,9995,Semi-Auto,26850,Diesel,20,72.4,1.6,VW,35998
 Golf,2019,21999,Automatic,11777,Petrol,145,44.8,2.0,VW,32335
